id,title,fen,player_color,mode,mate_in,plan,level_tier,level_thresholds,score_rules,created_at,updated_at,training_category,training_section,training_lesson_title
14902,Smothered Mate #3,3r3k/1p1b1Qbp/1n2B1p1/p5N1/Pq6/8/1P4PP/R6K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14903,Smothered Mate #4,r1k4r/ppp1bq1p/2n1N3/6B1/3p2Q1/8/PPP2PPP/R5K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns I
14904,Double Bishop Mate #1,7k/5B1p/8/8/8/8/8/5KB1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14905,Double Bishop Mate #2,r1bq3k/pp2R2p/3B2p1/2pBbp2/2Pp4/3P4/P1P3PP/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14906,Double Bishop Mate #3,r3k2r/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNBR3K b kq - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14907,Boden's Mate #1,2kr4/3p4/8/8/5B2/8/8/5BK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14908,Boden's Mate #2,2k1rb1r/ppp3pp/2n2q2/3B1b2/5P2/2P1BQ2/PP1N1P1P/2KR3R b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14909,Boden's Mate #3,2kr1b1r/pp1npppp/2p1bn2/7q/5B2/2NB1Q1P/PPP1N1P1/2KR3R w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14910,Balestra Mate #1,5k2/8/6Q1/8/8/6B1/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14911,Arabian Mate #1,7k/5R2/5N2/8/8/8/8/7K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14912,Arabian Mate #2,r4nk1/pp2r1p1/2p1P2p/3p1P1N/8/8/PPPK4/6RR w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14913,Arabian Mate #3,3qrk2/p1r2pp1/1p2pb2/nP1bN2Q/3PN3/P6R/5PPP/R5K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14914,Corner Mate #1,7k/7p/8/6N1/8/8/8/6RK w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14915,Corner Mate #2,5rk1/3Q1p2/6p1/P5r1/R1q1n3/7B/7P/5R1K b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14916,Morphy's Mate #1,7k/5p1p/8/8/7B/8/8/6RK w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14917,Morphy's Mate #2,5rk1/p4p1p/1p1rpp2/3qB3/3PR3/7P/PP3PP1/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14918,Morphy's Mate #3,2r2rk1/5ppp/pp6/2q5/2P2P2/3pP1RP/P5P1/B1R3K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14919,Pillsbury's Mate #1,5rk1/5p1p/8/8/8/8/1B6/4K2R w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14920,Pillsbury's Mate #2,2rqnrk1/pp3ppp/1b1p4/3p2Q1/2n1P3/3B1P2/PB2NP1P/R5RK w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14921,Damiano's Mate #1,5rk1/6p1/6P1/7Q/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14922,Damiano's Mate #2,4rk2/1p1q1p2/3p1Bn1/p1pP1p2/P1P5/1PK3Q1/8/7R w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14923,Damiano's Mate #3,q1r4r/1b2kpp1/p3p3/P1b5/1pN1P3/3BBPp1/1P4P1/R3QRK1 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14924,Lolli's Mate #1,6k1/5p2/5PpQ/8/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14925,Lolli's Mate #2,r4r2/1q3pkp/p1b1p1n1/1p4QP/4P3/1BP3P1/P4P2/R2R2K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14926,Lolli's Mate #3,4r1qk/5p1p/pp2rPpR/2pbP1Q1/3pR3/2P5/P5PP/2B3K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns II
14927,Opera Mate #1,4k3/5p2/8/6B1/8/8/8/3R2K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14928,Opera Mate #2,rn1r2k1/ppp2ppp/3q1n2/4b1B1/4P1b1/1BP1Q3/PP3PPP/RN2K1NR b KQ - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14929,Opera Mate #3,rn3rk1/p5pp/2p5/3Ppb2/2q5/1Q6/PPPB2PP/R3K1NR b KQ - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14930,Anderssen's Mate #1,6k1/6P1/5K1R/8/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14931,Anderssen's Mate #2,1k2r3/pP3pp1/8/3P1B1p/5q2/N1P2b2/PP3Pp1/R5K1 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14932,Anderssen's Mate #3,2r1nrk1/p4p1p/1p2p1pQ/nPqbRN2/8/P2B4/1BP2PPP/3R2K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14933,Dovetail Mate #1,1r6/pk6/4Q3/3P4/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14934,Dovetail Mate #2,r1b1q1r1/ppp3kp/1bnp4/4p1B1/3PP3/2P2Q2/PP3PPP/RN3RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14935,Dovetail Mate #3,6k1/1p1b3p/2pp2p1/p7/2Pb2Pq/1P1PpK2/P1N3RP/1RQ5 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14936,Dovetail Mate #4,rR6/5k2/2p3q1/4Qpb1/2PB1Pb1/4P3/r5R1/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14937,Cozio's Mate #1,8/8/1Q6/8/6pk/5q2/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14938,Swallow's Tail Mate #1,3r1r2/4k3/R7/3Q4/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14939,Swallow's Tail Mate #2,8/8/2P5/3K1k2/2R3p1/2q5/8/8 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14940,Epaulette Mate #1,3rkr2/8/5Q2/8/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14941,Epaulette Mate #2,1k1r4/pp1q1B1p/3bQp2/2p2r2/P6P/2BnP3/1P6/5RKR b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14942,Epaulette Mate #3,5r2/pp3k2/5r2/q1p2Q2/3P4/6R1/PPP2PP1/1K6 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14943,Pawn Mate #1,8/7R/1pkp4/2p5/1PP5/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14944,Pawn Mate #2,r1b3nr/ppp3qp/1bnpk3/4p1BQ/3PP3/2P5/PP3PPP/RN3RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns III
14945,Suffocation Mate #1,5rk1/5p1p/8/3N4/8/8/1B6/7K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14946,Suffocation Mate #2,r4k1r/1q3p1p/p1N2p2/1pp5/8/1PPP4/1P3PPP/R1B1R1K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14947,Greco's Mate #1,7k/6p1/6Q1/8/8/1B6/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14948,Greco's Mate #2,r4r1k/ppn1NBpp/4b3/4P3/3p1R2/1P6/P1P3PP/R5K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14949,Greco's Mate #3,r2q1rk1/pbp3pp/1p1b4/3N1p2/2B5/P3PPn1/1P3P1P/2RQK2R w K - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14950,Max Lange's Mate #1,2Q5/5Bpk/7p/8/8/8/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14951,Max Lange's Mate #2,r3k3/ppp2pp1/8/2bpP2P/4q3/1B1p1Q2/PPPP2P1/RNB4K b q - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14952,Blackburne's Mate #1,5rk1/7p/8/6N1/8/8/1BB5/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14953,Réti's Mate #1,1nb5/1pk5/2p5/8/7B/8/8/3R3K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14954,Légal's Mate #1,3q1b2/4kB2/3p4/4N3/8/2N5/8/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14955,Kill Box Mate #1,2kr4/8/1Q6/8/8/8/5PPP/3R1RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14956,Triangle Mate #1,8/3p4/3k4/2R4Q/8/4K3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14957,Vukovic Mate #1,4k3/R7/4N3/3r4/8/B7/4K3/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14958,Vukovic Mate #2,R7/8/8/7p/6n1/6k1/3r4/5K2 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14959,Vukovic Mate #3,2r5/8/8/5K1k/4N1R1/7P/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Checkmate Patterns IV
14960,Queen vs bishop mate,8/8/3kb3/8/8/3KQ3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14961,Queen vs knight mate,8/8/3kn3/8/8/3KQ3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14962,Queen vs rook mate,8/3kr3/8/3KQ3/8/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14963,Two bishop mate,8/8/3k4/8/8/2BBK3/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14964,Knight and bishop mate #1,8/8/1k1K4/8/2BN4/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14965,Knight and bishop mate #2,8/8/3k4/3B4/3K4/8/3N4/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14966,Two knights vs pawn,6k1/6p1/8/4K3/4NN2/8/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Piece Checkmates II
14967,Knight & Bishop Mate: Introduction,4k3/8/8/8/8/8/8/4KBN1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14968,Exercise: Restricting the King to the First Triangle,6k1/5N2/5K2/8/2B5/8/8/8 w - - 20 11,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14969,Restricting the King to the Second Triangle,8/8/3k2K1/8/8/1B1N4/8/8 b - - 29 15,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14970,Exercise: Restricting the King to the Second Triangle,8/4k1K1/8/8/2B5/3N4/8/8 w - - 34 18,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14971,Restricting the King to the Third Triangle,8/1k2K3/8/1B1N4/8/8/8/8 b - - 61 31,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14972,Delivering Mate,2B5/k1K5/8/3N4/8/8/8/8 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14973,Exercise: Delivering Mate,k1B5/2K5/8/3N4/8/8/8/8 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14974,Exercise: Checkmate the Engine - DSB Edition,4k3/8/8/8/8/8/8/4KNB1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14975,Exercise: Checkmate the Engine - Rotated Edition,1NBK4/8/8/8/8/8/8/3k4 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Checkmates,Knight & Bishop Mate
14976,Set up an absolute pin #1,7k/8/8/4n3/4P3/8/8/6BK w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14977,Set up an absolute pin #2,5k2/p1p2pp1/7p/2r5/8/1P3P2/PBP3PP/1K6 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14978,Set up a relative pin #1,1k6/ppp3q1/8/4r3/8/8/3B1PPP/R4QK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14979,Exploit the pin #1,4k3/6p1/5p1p/4n3/8/7P/5PP1/4R1K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14980,Exploit the pin #2,r4rk1/pp1p1ppp/1qp2n2/8/4P3/1P1P2Q1/PBP2PPP/R4RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14981,Exploit the pin #3,4r1r1/2p5/1p1kn3/p1p1R1p1/P6p/5N1P/1PP1R1PK/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14982,Exploit the pin #4,1r1n1rk1/ppq2p2/2b2bp1/2pB3p/2P4P/4P3/PBQ2PP1/1R3RK1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14983,Exploit the pin #5,q5k1/5pp1/8/1pb1P3/2p4p/2P2r1P/1P3PQ1/1N3R1K b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Pin
14984,Relative Skewer #1,8/1r3k2/2q1ppp1/8/5PB1/4P3/4QK2/5R2 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14985,Relative Skewer #2,r2r2k1/2p2ppp/5n2/4p3/pB2P3/P2q3P/2R2PP1/2RQ2K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14986,Relative Skewer #3,4rr1k/ppqb2p1/3b4/2p2n2/2PpBP1P/PP4P1/2QBN3/R3K2R b KQ - 0 22,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14987,Absolute Skewer #1,8/3qkb2/8/8/4KB2/5Q2/8/8 b - - 0 1,black,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14988,Absolute Skewer #2,2Q5/1p4q1/p4k2/6p1/P3b3/6BP/5PP1/6K1 w - - 4 51,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14989,Absolute Skewer #3,5Q2/2k2p2/3bqP2/R2p4/3P1p2/2p4P/2P3P1/7K w - - 1 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14990,Absolute Skewer #4,5k2/pp1b4/3N1pp1/3P4/2p5/q1P1QP2/5KP1/8 w - - 0 39,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14991,Absolute Skewer #5,6q1/6p1/2k4p/R6B/p7/8/2P3P1/2K5 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Skewer
14992,Knight Fork #1,2q3k1/8/8/5N2/6P1/7K/8/8 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14993,Knight Fork #2,6k1/5r1p/p2N4/nppP2q1/2P5/1P2N3/PQ5P/7K w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14994,Pawn Fork #1,7k/8/8/4b1n1/8/8/5PPP/5R1K w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14995,Pawn Fork #2,r1bqkb1r/pppp1ppp/2n5/4p3/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 2,black,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14996,Rook Fork #1,8/8/b5k1/8/8/8/1K6/3R4 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14997,Bishop Fork #1,5k2/8/8/8/8/r6P/5B2/6K1 w - - 0 1,white,mate,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14998,Queen Fork #1,4k2r/2n2p1p/6p1/3n4/5Q2/8/5PPP/6K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
14999,Double Attack #1,r3k3/7p/6p1/5p2/5r2/2NP4/PPP2PPP/R5K1 w - - 0 1,white,gain_piece,,,all,,,5/11/2026 7:17,5/11/2026 7:17,Pattern Recognition,Fundamental Tactics,The Fork
